01v21_v89t_gq3008s,alps 01v21_v89t_gq3008s mt6589 N9599T,Alps N9599T
Kraft-T,Lenovo LENOVO qcom Lenovo K30-T Kraft-T,Lenovo K30-T
Kraft_T,Lenovo cm_Kraft_T qcom Lenovo A6000 Kraft_T,Lenovo A6000
krillin,sprout Aquaris E4.5 krillin bq lineage_krillin,Bq Aquaris E4.5
ks01lte,ks01lte samsung GT-I9506 qcom ks01ltexx,Samsung GT-I9506
ks01ltexx,samsung GT-I9506 qcom ks01ltexx,Samsung GT-I9506
KSTB5043,amlogic KaonMedia KSTB5043,KaonMedia KSTB5043
kt096h_101,kt096h_101 mt6582 JTY KT-107H,JTY KT-107H
ktc,TOSHIBA_TV KTC ktc aosp_ktc monet,KTC TOSHIBA_TV
kugo,Sony F5321 kugo qcom,Sony F5321
kuh,Acer KG4BN 8hpp3u1a kuh2h kuh,Acer KG4BN
kungfupanda,mt8173 Xiaomi MiBOX3_PRO once kungfupanda,Xiaomi once
kuntao,Lenovo qcom kuntao aosp_kuntao Lenovo P2,Lenovo P2
KX-PRXA10,KX-PRXA10 Panasonic mt6575 Panasonic KX-PRXA10,Panasonic KX-PRXA10
kxd6753_65u_m555,alps full_kxd6753_65u_m555 kxd6753_65u_m555 mt6735 Three_Proofings_W8,Alps Three_Proofings_W8
KYF31,qcom KYF31_jp_kdi KYOCERA KYF31 KDDI,KYOCERA KYF31
kyleichn,samsung GT-S7562i kyleichn kyleizc unknown,Samsung GT-S7562i
kyleopen,samsung kylexx GT-S7562 kyleopen unknown,Samsung GT-S7562
kylepro,kylepro kyleproub samsung hawaii_ss_kylepro GT-S7580L,Samsung GT-S7580L
kyleprods,lineage_kyleproxx samsung kyleprods hawaii_ss_kyleprods GT-S7582,Samsung GT-S7582
kylessopen,samsung cm_kylessopen kylessopen qcom GT-S7560,Samsung GT-S7560
kyleve,samsung kyleve kylevexx GT-I9100 hawaii_ss_kyleve,Samsung GT-I9100
kylevess,GT-S7390L samsung kylevessub kylevess hawaii_ss_kylevess,Samsung GT-S7390L
kylin-mb976a9,kylin-mb976a9 kylin_mb976a9 sun9i ONDA ONDA V989,ONDA V989
kylin32,realtek ZIDOO_X9S kylin32 rtk_kylin32 kylin,Realtek ZIDOO_X9S
KYT31,qcom KYOCERA KYT31_jp_kdi KDDI KYT31,KYOCERA KYT31
KYV37,qcom KYV37 KYOCERA KDDI KYV37_jp_kdi,KYOCERA KYV37
L-EMENT350,L-EMENT350 Logicom mt6572,L-EMENT350
L-EMENT505,Logicom L-EMENT 505 L-EMENT505 L_EMENT505,Logicom L-EMENT 505
l0,l0_MPCS_US l0 LG-MS770 lge,Lge LG-MS770
L32,HM-G351-FL mt6735 Haier L32,Haier HM-G351-FL
L35h,Sony qcom L35h_1270-8716 L35h,Sony L35h
L36h,Sony qcom L36h,Sony L36h
l4ii_cdma,LGL39C l4ii_cdma_trf_us LGE lge l4ii_cdma,LGE LGL39C
L520,POSH L520 mt6735,POSH L520
L5221,qcom RAINBOW LITE 4G WIKO L5221,WIKO RAINBOW LITE 4G
L5251,L5251 qcom RAINBOW JAM 4G WIKO,WIKO RAINBOW JAM 4G
l5261,qcom PULP FAB 4G WIKO l5261,WIKO PULP FAB 4G
l5421,l5421 qcom PULP 4G WIKO,WIKO PULP 4G
l5460,mt6735 WIKO FEVER l5460,WIKO FEVER
l5510,RIDGE 4G l5510 qcom WIKO,WIKO RIDGE 4G
L553AN_US,L553AN_US X3-55 Pro monaco Letv X3-55Pro_US,Letv X3-55 Pro
l5560ae,mt6752 HIGHWAY STAR l5560ae WIKO,WIKO HIGHWAY STAR
L6,mt6592 L6 LY,LY L6
l70p,l70p LGE lge LG-D290 l70p_global_com,LGE LG-D290
l70pds,l70pds_global_com l70pds LG-D295 LGE lge,LGE LG-D295
l70pn,l70pn lineage_l70pn msm8610 LGE lge,LGE l70pn
l9010,qcom HIGHWAY PURE WIKO l9010,WIKO HIGHWAY PURE
l9708_4g,S8 Elephone mt6797 l9708_4g full_l9708_4g,Elephone S8
l9ii,l9ii_open_eu LG-D605 LGE lge l9ii,LGE LG-D605
LA82,LAVA A82 sp7731c_1h10 LA82,LAVA A82
land,Xiaomi qcom Redmi 3S land sm_land,Xiaomi Redmi 3S
Lanix_X250,mt6580 alps Claro Lanix_X250 llium X250,Alps llium X250
lasn72_wet_jb3,HTM M1 lasn72_wet_jb3 mt6572,HTM M1
latte,Xiaomi lineage_latte Mipad 2 latte,Xiaomi Mipad 2
lava82w_grand_t,Grand alps LAVA mt6582 lava82w_grand_t,Alps Grand
LAVA_A44,LAVA mt6735 LAVA_A44,LAVA_A44
lavender,qcom ZTE Z717VL lavender,ZTE Z717VL
LavenderII,mt6580 LavenderII VC,VC LavenderII
lcsh72_wet_gb3,A351 lcsh72_wet_gb3 alps Device mt6572,Alps A351
lcsh75_6628_ics,Sky alps lcsh75_6628_ics mt6575,Alps Sky
lcsh92_wet_jb9,Xiaomi lcsh92_wet_jb9 vikas yadav xolo mt6582 vikas yadav,Xiaomi vikas yadav xolo
LEAGOO_KIICAA_POWER,mt6580 LEAGOO_KIICAA_POWER LEAGOO KIICAA POWER T591 t591_otd_kiicaa,T591 KIICAA POWER
Leap,BlackBerry STR100-2 RIM Leap,RIM Leap
legend,htc_legend HTC Legend HTC legend vodafone_uk,HTC Legend
lemon,lemon qcom ZTE Z718TL,ZTE Z718TL
Lenovo A316i,Lenovo Lenovo A316i A316i mt6572,Lenovo A316i
Lenovo A319,Lenovo lineage_JoyTV Lenovo A319 Explay mt6572,Explay Lenovo A319
Lenovo A536,minimal_mt6582 Lenovo A536 mt6582 MediaTek,MediaTek minimal_mt6582
Lenovo-A526,Lenovo Lenovo A526 A526 Lenovo-A526 mt6582,Lenovo A526
Lenovo,Lenovo S650 mt6582,Lenovo S650
Lenovo_K3_Note,Lenovo LENOVO Lenovo_K3_Note mt6752 Lenovo K50-T5,Lenovo K50-T5
Lenovo_P1m,Lenovo cm_Lenovo_P1m Lenovo_P1m mt6735,Lenovo_P1m
lentisltektt,samsung qcom lentisltektt SM-G906K,Samsung SM-G906K
lentislteskt,samsung lineage_lentislte qcom SM-G906S lentislteskt,Samsung SM-G906S
lentk6735m_65u_l1,GO1001 Nexus mt6735 Gomobile GO1001 Gomobile lentk6735m_65u_l1,Nexus Gomobile GO1001
leo,Xiaomi qcom MI NOTE Pro leo,Xiaomi MI NOTE Pro
Leon,my50ds LGE cm_leon LG Leon h324,LGE h324
LePanII_wifi,TC979 qcom LePanII_wifi Matsunichi LePanII,Matsunichi LePanII
lephone_W7,lephone lephone_W7 sc9832a,Lephone_W7
le_ares,Coolpad Ares C105-6 qcom le_ares,Coolpad C105-6
le_s2,X520 le_s2 qcom LeMobile LeEco Le2_CN,LeMobile Le2_CN
le_s2_ww,Le2_WW qcom LeMobile Le X526 le_s2_ww Letv,LeMobile Le X526
le_x2,le_x2 LEX820 LeMax2 qcom LeMobile LeEco,LeMobile LEX820
le_x2_na,Le X829 le_x2_na qcom LeMobile LeEco LeMax2_NA,LeMobile Le X829
le_x6,LeMobile le_x6 LeEco mt6797 LEX626 Le2_CN1,LeMobile Le2_CN1
le_x626,Xiaomi le_x626 LeEco Le X626 mt6797 Le2_CN1,Xiaomi Le X626
le_x7,le_x7 LeMobile LeEco LEX651 X7_CN mt6797,LeMobile LEX651
le_zl0,ZL1_CN qcom LeEco LEX722 le_zl0,LeEco ZL1_CN
le_zl1,ZL1_CN LEX720 qcom LeEco le_zl1,LeEco ZL1_CN
LF705,Smart+ mt6735 Smart+ A4 roco LF705,Roco Smart+ A4
lgp930,i_skt lge_iproj LG-P930 LGE lgp930 lge,LGE LG-P930
lgp970,LG-P970 lgp970 lge_bprj lge,Lge LG-P970
libra,Xiaomi qcom libra aicp_libra Mi4c,Xiaomi Mi4c
Life One X2,qcom BLU Life One X2 lineage_Life_One_X2,BLU Life One X2
LIFETAB_E7310,LENOVO rk30board LIFETAB_E7310 LIFETAB_E7312 MEDION,LENOVO LIFETAB_E7312
LIFETAB_E7316,LIFETAB_E7316 LENOVO rk30board MEDION,LENOVO LIFETAB_E7316
lifetab_p831x,LENOVO lifetab_p831x_64 LIFETAB_P831X.2 lifetab_p831x anzhen4_mrd8_w MEDION,LENOVO LIFETAB_P831X.2
lifetab_p891x,LENOVO lifetab_p891x lifetab_p891x_64 MEDION LIFETAB_P891X,LENOVO LIFETAB_P891X
LIFETAB_P9514,ventana LIFETAB_P9514 LIFETAB_P9514_de Quanta MEDION,MEDION LIFETAB_P9514
lifetab_p970x,LENOVO lifetab_p970x rk30board LIFETAB_P970X MEDION,LENOVO LIFETAB_P970X
lifetab_s1034x,LENOVO LIFETAB_S1034X lifetab_s1034x_64 lifetab_s1034x anzhen4_mrd8_w MEDION,LENOVO LIFETAB_S1034X
lifetab_s1036x,LENOVO lifetab_s1036x_64 LIFETAB_S1036X lifetab_s1036x anzhen4_mrd8_w MEDION,LENOVO LIFETAB_S1036X
LIFETAB_S831X,LENOVO mt8392 LIFETAB_S831X MEDION,LENOVO LIFETAB_S831X
Life_One_X2,qcom BLU lineage_Life_One_X2 Life_One_X2,BLU Life_One_X2
LIFE_PLAY_MINI,BLU LIFE PLAY MINI LIFE_PLAY_MINI BLU mt6572,BLU LIFE PLAY MINI
Light_AT200,4GOOD_Light_AT200 mt6735 Light_AT200 4GOOD,4GOOD Light_AT200
lilac,Sony G8441 lilac,Sony G8441
lily,qcom Z963U lily zte,Zte Z963U
LINQ L10,LINQ L10 qcom QMB,LINQ L10
liquid_sander,liquid_sander Moto G5s Plus qcom motorola,Motorola Moto G5s Plus
lithium,MI MIX lithium Xiaomi qcom,Xiaomi MI MIX
LIVE4_KM0439,mt6735 KrugerMatz LIVE4_KM0439 KrugerMatz_LIVE4,KrugerMatz LIVE4_KM0439
llium_Pad_L8,Lanix qcom LANIX llium_Pad_L8 llium Pad L8,Lanix llium Pad L8
logan,samsung hawaii_ss_logan GT-S7270L logan loganub,Samsung GT-S7270L
logan2g,samsung logan2g sc6820i logan2gxx GT-S7262,Samsung GT-S7262
logan3gcmcc,sc8810i samsung logan3gcmcc logan3gzm GT-S7278,Samsung GT-S7278
logands,samsung logands cm_logands hawaii_ss_logands GT-S7272,Samsung GT-S7272
loganrelte,GT-S7275R loganrelte samsung qcom loganreltexx Samsung,Samsung GT-S7275R
Login,MFLoginPh Megafon Login mt6582,Megafon MFLoginPh
lol,qcom lol ZTE Z958,ZTE Z958
LON-AL00,LON-AL00 Huawei intel,Huawei LON-AL00
lotus,Sony Xperia Go lotus ST27i st-ericsson,Sony ST27i
lo_1,lo_1 LG-X135 LGE lo_1_open_ua2 lge mt6572,LGE LG-X135
lo_2,LG-X130g lo_2 LGE lge lo_2_tcl_mx mt6572,LGE LG-X130g
LS-4003,sc8830 LYF Reliance LS-4003 chinapalms_4m_oversea_volte,Reliance LS-4003
LS-4005,sc8830 LYF LS-4005,LYF LS-4005
LS-4008,LS-4008 sc9830 LYF FortuneShip,FortuneShip LS-4008
LS-4503,LS-4503 qcom LYF,LYF LS-4503
LS-4505,LS-4505 qcom LYF,LYF LS-4505
LS-5009,LS-5009 qcom LYF,LYF LS-5009
LS-5010,qcom JSR LYF LS-5010,JSR LS-5010
LS-5016,qcom LYF LS-5016,LYF LS-5016
LS-5017,mt6735 LYF LS-5017 Hipstreet-LYF,LYF LS-5017
LS4019PG,LINX A420 3G LS4019PG DIGMA LINX A420 3G LS4019PG sp7731g_1h10_32v4,DIGMA LINX A420 3G
ls990,LG-ls990 g3_spr_us LGE lge g3 ls990,LGE LG-ls990
ls997,elsa_spr_us qcom ls997 LGE lge LG-LS997,LGE LG-LS997
LSO,qcom InFocus M2 InFocus M2_00WW LSO,InFocus M2
lt013g,samsung smdk4x12 lt013gxx SM-T311 lt013g,Samsung SM-T311
lt01lte,samsung lt01ltexx smdk4x12 lt01lte SM-T315,Samsung SM-T315
lt01wifi,samsung smdk4x12 SM-T310 lt01wifi lt01wifixx,Samsung SM-T310
lt023g,samsung pxa988 SM-T211 lt023g lt023gxx,Samsung SM-T211
lt02kidswifi,samsung lt02kidswifiue pxa988 SM-T2105 lt02kidswifi,Samsung SM-T2105
lt02ltespr,samsung qcom lt02ltespr SM-T217S,Samsung SM-T217S
lt02wifi,SM-T210R samsung pxa988 lt02wifiue lt02wifi,Samsung SM-T210R
lt033g,samsung SM-P601 universal5420 lt033g lt033gub,Samsung SM-P601
lt03lte,Samsung Galaxy Tab 10.1 (2014) LTE lineage_lt03lte samsung lt03lte qcom,Samsung Galaxy Tab 10.1 (2014) LTE
lt03ltexx,samsung lt03ltexx qcom SM-P605 aosp_lt03lte,Samsung SM-P605
lt03wifi,SM-P600 lt03wifi samsung universal5420 lt03wifixx,Samsung SM-P600
lt03wifiue,SM-P600 samsung universal5420 lt03wifiue,Samsung SM-P600
LT15i,Sony Ericsson LT15i LT15i_1248-1473 semc SEMC,Sony Ericsson LT15i
LT18i,Sony Ericsson LT18i_1254-2250 semc SEMC LT18i,Sony Ericsson LT18i
LT22i,Sony LT22i LT22i_1261-6006 st-ericsson SEMC,Sony LT22i
LT25i,Sony qcom LT25i,Sony LT25i
LT26i,LT26i_1257-7763 Sony Ericsson LT26i semc SEMC,Sony Ericsson LT26i
LT26w,Sony Ericsson semc LT26w LT26w_1266-2038 SEMC,Sony Ericsson LT26w
LT30p,Sony qcom LT30p,Sony LT30p
LT4001PG,Linx_A400_3G DIGMA LT4001PG sc7731c Linx A400 3G LT4001PG,DIGMA Linx_A400_3G
LT4018PG,DIGMA LINX A401 3G LT4018PG sc7731c LINX A401 3G LT4018PG,DIGMA LINX A401 3G
LT500,qcom LANIX LT500 Ilium LT500,LANIX Ilium LT500
lte26007,HM 2A full_lte26007 lte26007 Xiaomi leadcoreinnopower,Xiaomi HM 2A
LT_M5_lite,LT_M5_lite mt6735 LT,LT_M5_lite
lucye,LG-LS993 LGE lucye_spr_us lge lucye,LGE LG-LS993
lulu_cheets,lulu Dell Chromebook 13 7310 google lulu_cheets cheets,Google Dell Chromebook 13 7310
Lush Mint, 1,mt6580 alps Lush Mint  1,Alps Lush Mint  1
luv20ds,luv20ds_global_com luv20ds LGE lge mt6572 LG-D105,LGE LG-D105
luv20ss,LG-D100 luv20ss LGE lge mt6572 luv20ss_global_com,LGE LG-D100
luv30ss,luv30ss LG-D120 luv30ss_global_com LGE lge mt6572,LGE LG-D120
luv50ds,luv50ds_global_com luv50ds LGE lge mt6572 LG-D227,LGE LG-D227
luv50ss,luv50ss_global_com luv50ss LG-D213 LGE lge mt6572,LGE LG-D213
luv80ds,luv80ds LG-D335 LGE lge luv80ds_global_com,LGE LG-D335
luv80ss,LG-D331 luv80ss_global_com luv80ss LGE lge,LGE LG-D331
luv90ds,luv90ds_open_ame luv90ds LG-D686 mt6577 LGE lge,LGE LG-D686
luv90ss,luv90ss LG-D680 mt6577 LGE luv90ss_tcl_mx lge,LGE LG-D680
lux,qcom lux_reteu motorola XT1562 lux,Motorola XT1562
lux_uds,lux_retasia_ds qcom motorola lux_uds XT1562,Motorola XT1562
lv0,LGUS110 lv0 lv0_usc_us LGE lge,LGE LGUS110
lv1,lv1 LGE lv1_att_us lge LG-M150,LGE LG-M150
lv3,lv3_tmo_us lv3 LG-M210 LGE lge,LGE LG-M210
lv3n,lv3n_global_com lv3n LG-M200 lv3 LGE lge,LGE LG-M200
lv517,LG K20 Plus qcom lv517 lge lineage_lv517,Lge LG K20 Plus
lv7,LG-M320G lv7_global_ca LGE lge lv7,LGE LG-M320G
M 9,M 9 mt6589,M 9
M-PPAG4,mt6580 Mediacom M-PPAG4 PhonePad,Mediacom M-PPAG4
m0,m0xx samsung m0 smdk4x12 GT-I9300,Samsung GT-I9300
m1,m1_mpcs_us m1 LGMS330 LGE MetroPCS,LGE LGMS330
M100qw,M100qw rk30board DNS AirTab,DNS M100qw
m111k4_bcm4335,amlogic MBX m111k4_bcm4335 MXIII,MBX MXIII
m13g,LG Electronics mt6580 m13g m13g_global_com lge LG-X210,LG Electronics LG-X210
m1metal,Meizu m1 metal m1metal mt6795,Meizu m1 metal
m1v,m1v LG-K371 LGE lge m1v_att_us,LGE LG-K371
m2,Meizu m2 mt6735,Meizu m2
m201,amlogic MBX m201 MXQ,MBX MXQ
m201C,amlogic MBX MXQ m201C,MBX MXQ
m201d,amlogic MBX MXQ m201d,MBX MXQ
m201_512m,amlogic general MBX B.S805.5 m201_512m,MBX B.S805.5
m209,m209_trf_us_vzw LGL62VL LGE lge m209,LGE LGL62VL
m209n,m209n_mpcs_us m209n LGE MetroPCS LGMS428,LGE LGMS428
m216,LG-K420n qcom m216 LGE lge,LGE LG-K420n
m216n,m216n m216n_global_com LG-K420 m216 LGE lge,LGE LG-K420
m23g,LG-K410 LGE m23g lge m23g_global_com,LGE LG-K410
m253,m253 m253_global_com LG-K430 LGE lge,LGE LG-K430
m253n,m253 LG-K430 m253n_global_com LGE lge m253n,LGE LG-K430
m2alte,samsung universal5260 m2altexx SM-C115 m2alte,Samsung SM-C115
m2note,Meizu m2note mt6735 m2 note,Meizu m2 note
m3,GT-I9305 samsung m3xx m3 smdk4x12,Samsung GT-I9305
M340,M340 mt6580 Dexp Ixion M340,Dexp Ixion M340
M350,M350 Ixion DEXP mt6735 Ixion M350,DEXP Ixion M350
M3Max,Meizu mt6755 M3 Max M3Max meizu_M3Max,Meizu M3 Max
m3note,Meizu mt6755 m3 note m3note,Meizu m3 note
M3s,Meizu mt6755 M3s,Meizu M3s
M3X,Meizu M3X mt6757,Meizu M3X
m3xx,GT-I9305 samsung m3xx m3 smdk4x12,Samsung GT-I9305
m4,LG-E612g m4 m4_sca_com_g LGE lge,LGE LG-E612g
M445_Onyx_2,Ixion DEXP M445_Onyx_2 M445,DEXP M445
M450,M450 Ixion DEXP mt6735 Ixion M450,DEXP Ixion M450
m470,m470 M470BSA Hisense,Hisense M470BSA
m4ds,m4ds m4ds_open_cis LGE lge LG-E615,LGE LG-E615
M4MAGIC,M4MAGIC mt6582 BVC,BVC M4MAGIC
M5,Meizu mt6755 M5 meizu_M5,Meizu M5
M50,TIMMY mt6735 M50,TIMMY M50
M503,mt6735 cm_M503 M503 ARK Benefit M503 ARK,ARK Benefit M503 M503
M575,mt6580 alps M575,Alps M575
M5c,meizu mt6735 M5c meizu_M5c,Meizu M5c
M5CR,CZ Electronics M5CR MINT sp7731c_1h10,CZ Electronics M5CR
M5mini,mt6580 NYX ORBIS V002R_L M5mini cm_X510 ragentex Infinix,Infinix NYX ORBIS V002R_L
M5Note,Meizu M5 Note mt6755 meizu_M5 Note M5Note,Meizu_M5 Note
M5s,Meizu mt6735 M5s meizu_M5s,Meizu M5s
M6Note,Meizu M6 Note qcom M6Note meizu_M6Note_CN,Meizu M6 Note
M7-3G_QC_3,sc7731 M7-3G_QC_3 Multilaser,Multilaser
m7,qcom HTC htc One lineage_m7 m7,HTC One
m72_emmc_s6_pcb22_jinsuoai_epad_ddr1,alps A739MTKJ m72_emmc_s6_pcb22_jinsuoai_epad_ddr1 mt6572,Alps A739MTKJ
m72_emmi_p2000,alps m72_emmi_p2000 mt6572 Android,Alps Android
m72_emmi_p88w,alps m72_emmi_p88w mt6572 Android,Alps Android
m72_nand_p1000,m72_nand_p1000 alps mt6572 Android,Alps Android
M750,mt6580 M750 Dexp Ixion M750,Dexp Ixion M750
m799ca,Infotmic imapx200 m799ca,Infotmic m799ca
m7cdug,HTC One dual sim HTC htc_europe htc m7cdug,HTC One dual sim
M7I-3G,sofiaboard M7I-3G Multilaser,Multilaser M7I-3G
m7wls,HTCONE HTC htc sprint_wwe m7wls,HTCONE
m7wlv,HTC6500LVW HTC htc HTCOneVZW m7wlv,HTC6500LVW
m8,LEAGOO M8 mt6580 LEAGOO M8,LEAGOO M8
m801,m801_88 telechips MID7125 m801,Telechips MID7125
M812,M812C qcom CMDC AND M812,CMDC M812C
M88,sc8830 QMobile QMobile M88 M88,QMobile M88
m8s+,amlogic m8s+ MBX,MBX m8s+
M8SPRO,amlogic M8SPRO M8S PRO Amlogic VS q20x,VS M8S PRO
m8s_plus,amlogic m8s+ MBX m8s_plus,MBX m8s+
M8S_PRO,amlogic Amlogic M8S_PRO q20x Nexus M8S PRO,Amlogic Nexus M8S PRO
M8S_PRO_L,amlogic M8S PRO L M8S_PRO_L Amlogic VS q20x,VS M8S PRO L
M8S_PRO_L_4335,amlogic M8S PRO L M8S_PRO_L_4335 Amlogic VS q20x,VS M8S PRO L
M8S_PRO_L_NEWPAL,Newpal M8S PRO L amlogic M8S_PRO_L_NEWPAL Amlogic VS q20x,VS Newpal M8S PRO L
M8S_PRO_PLUS,amlogic M8S PRO+ M8S_PRO_PLUS Amlogic p21x VS,VS M8S PRO+
M8S_PRO_W,amlogic M8S_PRO_W M8S PRO W Amlogic p21x VS,VS M8S PRO W
M8_pro,LEAGOO mt6735 leagoo M8_pro M8_Pro,Leagoo M8_Pro
M9,mt6580 LEAGOO M9,LEAGOO M9
M916-D500,ZORRO M916-D500 qcom ZORRO-001 ZORRO 001,ZORRO 001
macallan,Kobo macallan arc 10HD,Kobo arc 10HD
MACHFIVE,MACHFIVE Karbonn KARBONN mt6582,Karbonn MACHFIVE
magc6580_weg_c_m,mt6580 magc6580_weg_c_m 6C,6C
magc6580_we_c_m,mt6580 alps super 11 magc6580_we_c_m full_magc6580_we_c_m X-BO,Alps super 11
magc6580_we_l,mt6580 alps full_magc6580_we_l O8 magc6580_we_l,Alps O8
magc6580_we_m,full_magc6580_we_m mt6580 alps Maya magc6580_we_m,Alps Maya
magc6755_66c_m,mt6755 Elephone M3 magc6755_66c_m,Elephone M3
magnids,magnids HTC htc_europe htc_magnids HTC Desire SV,HTC Desire SV
maguro,samsung tuna Galaxy Nexus yakju maguro google,Samsung Galaxy Nexus
mako,nitrogen_mako Nexus 4 google LGE mako,LGE Nexus 4
mango,Acer acer A1-810 a1-810_ww_gen1 mt8389 mango,Acer A1-810
manning,manning Lenovo K8 Note manning_retail mt6797 lenovo,Lenovo K8 Note
manta,mantaray AOSP on Manta manta Samsung Android,Samsung AOSP on Manta
MAPAN,MAPAN MAIXIN GROUP sun5i MAPAN MX913 DC,MAPAN MX913 DC
maple,Sony Xperia XZ Premium Dual aicp_maple maple,Sony Xperia XZ Premium Dual
Marathon,Philips W6610 Philips W6610 Marathon mt6582,Philips W6610
margo,maserati AFTRS margo Amazon,Amazon AFTRS
marinelteatt,samsung marinelteatt SAMSUNG-SM-G890A marinelteuc samsungexynos7420,SAMSUNG-SM-G890A
marino_f,Lenovo LENOVO marino_f mt6757 Lenovo K8 Plus,Lenovo K8 Plus
markw,Xiaomi qcom markw Redmi 4 Prime,Xiaomi Redmi 4 Prime
marlim,Pixel 2 XL google angler Huawei marlim marlin,Huawei marlin
marlin,Google google Pixel XL marlin,Google Pixel XL
marmite,qcom Wileyfox Swift 2 X marmite Swift2,Wileyfox Swift 2 X
mars-a1000ghw,mars-a1000ghw sun6i mars_a1000ghw A1000G_HW_SDK12 softwinners unknown,Unknown A1000G_HW_SDK12
mars-A31,mars_A31 sun6i mars-A31 AndroidTV-CS918S softwinners unknown,Unknown AndroidTV-CS918S
Mars_pro,Mars_pro NewBund Mars pro mt6757 vernee,NewBund Mars pro
martell,qcom martell Z799VL ZTE,ZTE Z799VL
marvel,marvel HTC htc_europe HTC Wildfire S A510e htc_marvel,HTC Wildfire S A510e
mata,mata PH-1 Essential Products essential,Essential Products PH-1
Mate,Mate P2 mt6580 Mate 9i,Mate P2
matisse3g,samsung matisse3gxx qcom SM-T531 matisse3g,Samsung SM-T531
matisselte,samsung qcom matisseltexx matisselte SM-T535,Samsung SM-T535
matissevewifi,samsung matissevewifixx qcom matissevewifi SM-T533,Samsung SM-T533
matissewifi,samsung matissewifi qcom SM-T530 lineage_matissewifi,Samsung SM-T530
matissewifiue,samsung SM-T530NU qcom matissewifiue,Samsung SM-T530NU
MATRIX GRAVITY,mt6580 MATRIX GRAVITY,MATRIX GRAVITY
matrix,amlogic xiaomi Xiaomi matrix MiTV4A,Xiaomi MiTV4A
max,qcom max zte_max ZTE N9521,ZTE N9521
max1,qcom X900+ max1 Letv,Letv X900+
Max13,W&O alps Max13 mt6572,Alps Max13
maxwellplus,bq_MaxwellPlus rk30board maxwellplus bq Maxwell Plus bq,Bq Maxwell Plus
mb526,mapphone_umts mb526_umts motorola MOTO mb526 MB526,MOTO MB526
mb886,smdk4x12 MB886_att motorola MB886 mb886,Motorola MB886
mbk72_wet_lca,alps mbk72_wet_lca mt6572,Alps mbk72_wet_lca
mbk77_tb_jb,alps mbk77_tb_jb M79 UDM04D mt8377,Alps M79
mbk82_tb_jb5,mt8382 mbk82_tb_jb5 alps 738-3G,Alps 738-3G
Mbot51,M bot 51 mt6735 Mbot51 Logicom,Logicom M bot 51
mc90,LG-H520 mc90_global_com LGE lge mc90,LGE LG-H520
mc90ds,mc90ds LG-H522 mc90ds_global_com LGE lge,LGE LG-H522
MC92,omap4430 MC92 Zebra Technologies MC92N0 Android,Zebra Technologies MC92N0
mcv150,mcv150 LG-SP200 LGE lge mcv150_spr_us,LGE LG-SP200
MD501_Vobis,mt6589 MD501_Vobis Alpha Rage,MD501_Vobis Alpha Rage
MD_LIFETAB_P9516,MD_LIFETAB_P9516 ventana MEDION Medion,MEDION MD_LIFETAB_P9516
me0,me0_spr_us me0 LGLS450 LGE lge,LGE LGLS450
me1,LG-K120 me1 LGE lge me1_global_com,LGE LG-K120
me12,PMP3270B me12 sun5i yftech unknown,Unknown PMP3270B
me172v,US_me172v me172v ME172V asus wmt,Asus ME172V
ME173X,WW_memo ME173X asus mt8125,Asus ME173X
me1ds,me1ds_global_com_nr me1ds LGE LG-K130 lge,LGE LG-K130
me301t,ME301T cardhu omni_me301t unknown me301t Asus,Unknown ME301T
ME302C,WW_epad redhookbay asus ME302C,Asus ME302C
ME302KL,WW_epad msm8960 asus ME302KL,Asus ME302KL
ME371MG,WW_epad mfld_gi ME371MG asus,Asus ME371MG
Mediacom 810c XTeam,Mediacom 810c XTeam Xteam 4.8 Smartpad 810c rk29sdk Mediacom rk29board Android,Mediacom Xteam 4.8 Smartpad 810c
mega2lteatt,samsung SAMSUNG-SM-G750A mega2lteatt universal4415 mega2lteuc,SAMSUNG-SM-G750A
Megafon,MS3A Megafon mt6572 Android,Android MS3A
MegaFon_Login_4_LTE,MegaFon_Login_4_LTE mt6735 ZTE MFLogin4,ZTE MFLogin4
Megane,TCT mt6575 ALCATEL ONE TOUCH 5020N Megane_MetroPCS Megane TCT_MetroPCS,TCT ALCATEL ONE TOUCH 5020N
Megane_GSM,TCT ALCATEL ONE TOUCH 5020D Megane_GSM mt6575 Megane,TCT ALCATEL ONE TOUCH 5020D
meilan2,Meizu meilan2 mt6735 M2 Mini lineage_meilan2,Meizu M2 Mini
MEIZU_M5,Meizu mt6755 meizu_M5 MEIZU_M5,MEIZU_M5
melius3g,samsung qcom melius3gzt melius3g GT-I9200,Samsung GT-I9200
meliuslte,samsung meliuslte qcom meliusltexx GT-I9205,Samsung GT-I9205
meliusltexx,samsung qcom cm_meliusltexx meliusltexx Samsung GT-I9205,Samsung GT-I9205
Memobox,amlogic Memobox Memobox UFO,Memobox UFO
memul,lineage_memul One Mini 2 memul qcom HTC htc,HTC One Mini 2
MEpure,GS53-6 qcom Gigaset MEpure,Gigaset GS53-6
mercury,mercury_i18n Mobvoi Inc. mercury mt2601 Ticwatch2-i18n TIC,Mobvoi Inc. Ticwatch2-i18n
meri,song Xiaomi MI 5C meri,Xiaomi MI 5C
merlin,MotoG3-TE merlin qcom motorola merlin_retasia,Motorola MotoG3-TE
Mesquite,Hewlett-Packard Mesquite hp charcoal P702T HP 7,Hewlett-Packard HP 7
