01v21_v89t_gq3008s,alps 01v21_v89t_gq3008s mt6589 N9599T,Alps N9599T
foster,NVIDIA foster_e foster SHIELD Android TV,NVIDIA SHIELD Android TV
foster_e,NVIDIA foster_e SHIELD Android TV,NVIDIA SHIELD Android TV
Four_S610_Shine,mt6735 Shine Axiom Four_S610_Shine,Axiom Shine
FP1,FP1 FP mt6589,FP1
fp2,Fairphone qcom FP2,Fairphone FP2
Fractal,Fractal SPRD sharkls_xx08 sc9832a,SPRD sharkls_xx08
Frenzy,Acer mt8163 B1-850 Frenzy,Acer B1-850
fresh,Fresh mt6580 Jinga,Jinga Fresh
Fresh4G,Fresh4G mt6735 Jinga,Jinga Fresh4G
FRT,HMD Global Frontier_00WW mt6735 Nokia 1 FRT Nokia,HMD Global Nokia 1
fs454,FS_454 Fly mt6580 Blackview cm_A5,Blackview A5
FS454_EXTENDET,AOSP EXTENDET 6.0_UNOFFICIAL Fly mt6580 FS454_EXTENDET,AOSP EXTENDET 6.0_UNOFFICIAL FS454_EXTENDET
FS505,Fly mt6580 FS505,Fly FS505
FS_454,FS_454 Fly mt6580 Blackview cm_A5,Blackview A5
FT3001PM,DIGMA FT3001PM FIRST XS350 2G FIRST XS350 2G FT3001PM sp8810,DIGMA FIRST XS350 2G
FTJ161A,FREETEL FTJ161A mt6735 Plus One Japan Ltd,Plus One Japan Ltd FTJ161A
FTPLDEMO,FunTabPlay sun8i Ematic Funtab 3 FTPLDEMO,Ematic Funtab 3
fugu,Nexus Player google fugu Asus,Asus Nexus Player
Fun Value Lite,mt6580 OWN Fun Value Lite,OWN Fun Value Lite
Fu_Zin_32,Fu_Zin_32 qcom Pioneer O&P Innovations XDP-100R,O&P Innovations XDP-100R
fx1sk,fx1sk LG-F260S LGE lge fx1sk_skt_kr,LGE LG-F260S
fx3,fx3 fx3s fx3s_spr_us LGE lge LG-LS720,LGE LG-LS720
fx3q,fx3q VS890 4G fx3q_vzw LGE lge,LGE VS890 4G
G,qcom 10or G,10or G
G006S,alps G G006S mt6572,Alps G006S
G0215D,G0215D qcom Gree GREE,Gree G0215D
G1,mt6735 G1 vkworld,Vkworld G1
G10,InFocus M2_3G G10 InFocus M2_3G_00WW mt6582,InFocus M2_3G
g12refM1006A2SY,amlogic ONDA MID g12refM1006A2SY ITAB,ONDA ITAB
g12refM1006DM,amlogic g12refM1006DM MID SmartPad970s2,SmartPad970s2
g12refM704A6BN,amlogic g12refM704A6BN MID BioniQ700HX,BioniQ700HX
G1317D,GIGABYTE qcom G1317D GSmart G1317D GSmart,GIGABYTE GSmart G1317D
G150,G150 DEXP mt6735,DEXP G150
G155,mt6580 G155_RU DEXP G155,DEXP G155
g15v97_gq,Ulefone full_g15v97_gq g15v97_gq mt6797 Gemini Pro,Ulefone Gemini Pro
g15v97_kw_u8_4m,UMIDIGI g15v97_kw_u8_4m Z UMIDIGI_Z mt6797,UMIDIGI_Z
g18,amlogic G-Box MX2 G-Box Matricom Matricom G-Box Midnight MX2 g18,Matricom G-Box MX2
g18ref,amlogic MBX g18ref MBX reference board (g18ref),MBX reference board (g18ref)
g2,VS980 4G LGE g2 lge g2_vzw,LGE VS980 4G
g223,alps g223 4Good S503m 3G mt6572 4Good,Alps 4Good S503m 3G
G2F,G2F cm_Ajito mt6582 JY,JY Ajito
g2m,g2m qcom LG-D620 lineage_g2m LGE lge,LGE LG-D620
g2mds,LG-D618 g2mds g2mds_global_com LGE lge,LGE LG-D618
g2mss,g2mss LG-D610AR g2mss_global_com LGE lge,LGE LG-D610AR
g3,LG-D852 LGE g3_tls_ca lge g3,LGE LG-D852
g30refN79A,amlogic ST70216-1 g30refN79A MID SurfTab_7.0 HD,SurfTab_7.0 HD ST70216-1
G31,G31 sc7731c revo_xx04 Android,Android revo_xx04
G3112,Sony G3112 mt6757,Sony G3112
G3121,Sony G3121 mt6757,Sony G3121
G3123,Sony G3123 mt6757,Sony G3123
G3212,Sony mt6757 G3212,Sony G3212
G3221,Sony G3221 mt6757,Sony G3221
G3223,Sony mt6757 G3223,Sony G3223
G3311,Sony mt6735 G3311,Sony G3311
